,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
102,130,0.07692307692307693,624,4,17,9.6,656337106964682803577826465418163244514625388251250910142898363280774647905746251339228135478524392847695664708268851200,508715265651411448051004991469282910209286137807039029470786419360142763116366700320576316056524921983938839903505219584,0.9953846153846154,1734,1.8924195766448975
103,140,0.07142857142857142,704,3,20,10.057142857142857,169281852374300615141978890533169046354497772832535501881798966699737831141279039780879784958678317196619409917400947194623311216640,134292408346117057060811602170396566242215616327462398688053268148801956189182078238554288406057944811761271014195102857326273495040,0.99,37016,38.14984655380249
104,30,0.3333333333333333,123,4,12,8.2,2191890509829855130943488,1513263580493007869181952,0.9933333333333334,47075,11.689287185668945
105,40,0.25,194,3,17,9.7,489236311533802757842923081118515200,400096206418657495323834020448436224,0.97,4380,1.4319000244140625
106,50,0.2,277,5,19,11.08,1270541823207353040016393832259694341298547851264,892164549360279891448725445433807582959148990464,0.984,1229,0.7665994167327881
107,60,0.16666666666666666,283,1,16,9.433333333333334,157963290359303032481531505661697200595952924425715712,119998835721168997040002907467023772236414211546152960,0.9800000000000001,2355,1.302495002746582
108,70,0.14285714285714285,335,3,16,9.571428571428571,429526938491202900481057341104720622346012869725070774247620608,308818282568065355424912784471206444359858718583116301175095296,0.9885714285714287,2192,1.7231824398040771
109,80,0.125,416,2,17,10.4,3522508979125429295372374758588517220150883933060371337968057918926943682560,2541547746215483014800230337858108793930682273870850525417773581761819705344,0.9925,2765,1.7972171306610107
110,90,0.1111111111111111,452,4,16,10.044444444444444,2593911987321644613149688580419422321221468670740413417215988403279594532886584229888,2118697170872036178105991171239694939643947443443931636616309094861421761904490053632,0.9977777777777778,131,0.14803814888000488
111,100,0.1,515,3,18,10.3,39079036518344068266690451399633543665369186162929603028070845546185995499447277967546890846208,32564679088862044689750228952665946279650136193137564273779198972030126280237802753246625792000,0.994,7091,6.216410398483276
112,110,0.09090909090909091,476,2,18,8.654545454545454,45632384320358682318165765315678508239400305186558484770316286810408041954237056651320310628352,33072712112210173518788118223384928787480559926003855856636368277539445815968197496317507796992,0.9763636363636363,872,0.9422762393951416
113,120,0.08333333333333333,594,2,16,9.9,1046860108360957688965945517664013273167063757430276132833018375447875865282183498263667908966528749203638714368,861783287669832334570659625179023752641691540189310613889639437049112953211623824320296237107135582779320827904,0.9933333333333334,3948,4.7657506465911865
114,130,0.07692307692307693,667,4,18,10.261538461538462,1730769961040479594757949729320085760006560216411680297012086418177867906177687419568570318041783268966411184752372507213824,1155299558328073991859880741065374524091591307418505026972373322944909701634387690715663638308829633359883359182252580798464,0.9969230769230769,100000,114.3778293132782
115,140,0.07142857142857142,665,3,17,9.5,65841911565539735381930412765124019225692626753487883140555963058528054929126400770421622735531663270120781657826862762993647616,52646292000419768679547169449542068036229118351779713736544971595096160799908263980133055216377577622012952310258198091908775936,0.9885714285714287,13387,16.884681940078735
116,30,0.3333333333333333,127,5,14,8.466666666666667,4151017352524555580604416,2892627415747925886631936,0.9866666666666667,254,0.12092971801757812
117,40,0.25,183,1,16,9.15,15050299869501319980952151138500608,11862069407532030111206086702792704,0.9650000000000001,5405,1.6045472621917725
118,50,0.2,227,2,15,9.08,12702266470403428387264638579400203170742272,8415030338498143476709060582717805605945344,0.9800000000000001,477,0.28253626823425293
119,60,0.16666666666666666,300,3,18,10.0,15301343315209785344150790762480504421318895109016649728,11994270670959224142654904334325984871159450556421898240,0.9866666666666667,6487,3.0894742012023926
120,70,0.14285714285714285,340,4,16,9.714285714285714,9182533475440173959149096672016928374057892931575591617366589440,7275155122712340201726511842490263951981683821996998831523233792,0.9857142857142858,207,0.20328307151794434
121,80,0.125,401,4,18,10.025,118138335680426908171480402146459285513629306757396363335006234796577783808,98060432869934428020543452411910909093667088858330759417099070800236904448,0.9925,46970,31.150413751602173
122,90,0.1111111111111111,446,4,18,9.911111111111111,390931235169583741953492087415764349903810860307169093603388176827023929871830089728,253840661898184521354492282457646323191511413636541170482853245854982728008547172352,0.9933333333333334,5977,4.518870830535889
123,100,0.1,478,3,18,9.56,6057254313300733981912242584692587414627499453340661349001417447664300896407977871022227456,4846425899980082356256612911836899644292408348730655060101086161797350765981139987375063040,0.994,15933,12.097047090530396
124,110,0.09090909090909091,561,4,17,10.2,102697609875353131563494646482894947531215400151614778660225483733918545424159034993300727968420140679168,78006026993990351375879438723148034568441039145347129806592445191196051441663748965122206143228258811904,0.9945454545454545,26585,21.313607692718506
125,120,0.08333333333333333,588,4,16,9.8,4868538536387835016375536731787592652536013737342360550533678886939836846425240076002657989538909849403097350144,3720449927142817887356388503542094552099434158413882540094084128701752657073300629867861229451902879007693078528,0.9983333333333334,6488,6.062828540802002
126,130,0.07692307692307693,678,2,20,10.430769230769231,4976107309226842342195533941814767804838608870688410431897050411605963232525035810879312072737409578352416138462562147631104,4046384519638074264489082829279762923431896031741191497114290881418882618057290497920261194738097800522321329553766747209728,0.9923076923076923,1975,1.955564022064209
127,140,0.07142857142857142,739,3,20,10.557142857142857,399508738009705972767748080884751374894039260626669545531034072584055992798301777444666202484788850757031564738209057566449887778701312,330662098450059049110541071153147146404769851578697817005849620382783115002449853579177844091355617882548470640887769549303804554379264,0.99,38973,38.12496519088745
128,30,0.3333333333333333,157,3,16,10.466666666666667,3303654008204382082219114496,2721046603697136596422754304,0.9933333333333334,1100,0.26098179817199707
129,40,0.25,183,4,14,9.15,61763681130402715104104252979544064,45259838350589725435753996279087104,0.99,3791,1.53904390335083
130,50,0.2,261,4,19,10.44,69751192716405144919846024447224483427655876608,54464932144423274487323874988453636704701513728,0.976,981,0.457289457321167
131,60,0.16666666666666666,298,3,16,9.933333333333334,10643764052587452914419064040765723709579106114150072320,9145956523441306376631277612378931387450697210983874560,0.9866666666666667,469,0.3210153579711914
132,70,0.14285714285714285,377,4,17,10.771428571428572,23777932482433045200935788739407936708832137604429376550438971637760,19679802682243627751203092645926744159187540747161996035455843303424,0.9885714285714287,1410,0.9733989238739014
133,80,0.125,393,4,16,9.825,41428101368716511950659337305710442699604327683789805992688921285733908480,35280906560442810251910308669431486858313175824282783180438897212707045376,0.9949999999999999,20183,10.743351221084595
134,90,0.1111111111111111,438,3,19,9.733333333333333,28956336207741889794494180418232631611304711382961086188715606794371704608685817856,23661757006556652886414854466901773268700505578611923184743477843512805833131950080,0.9844444444444445,711,0.5068359375
135,100,0.1,498,3,23,9.96,1018509680934461941465867091318276643965953040075148399612106056861521157790663086501617729536,856966337518068756045069111640765695210502604352328532970390830837198102865456275181302448128,0.998,100000,80.52639031410217
136,110,0.09090909090909091,520,3,16,9.454545454545455,3896618113935787584587232688692367917776230236558151148194095255148211015141222849900005091679666176,3202648851700476375721353500912951783249518831023820930763113740656418216872377063478329031574683648,0.9872727272727273,56092,46.4302179813385
137,120,0.08333333333333333,586,3,17,9.766666666666667,2406914279416567496066671776492672904571283195336591326739747179166293699319871449252439003383482123905524563968,1901614601528858546108415368503008038344415471142510808873322763588102244425805365248248095625520267748467277824,0.985,22254,20.142987489700317
138,130,0.07692307692307693,660,3,21,10.153846153846153,199168797616300895739732330859220684042133331038200527781393406351046103126397586961199179393134062372087226969376119848960,167091689971514207303031927205575886082562900780697571075471434742825339673957601507133936190340551823826974094330915979264,0.9969230769230769,100000,96.90628743171692
